13309,"int main() { int n,i; scanf(""%d"",&n); double a,b,c,disc,x1,x2,realpart,imagpart; for(i=1;i<=n;i++) { scanf(""%lf %lf %lf"",&a,&b,&c); disc=b b-4 a c; if(fabs(disc)<=1e-6) { x1=-b (2 a); x2=-b (2 a); printf(""x1=x2=%7.5f "",x1); } else if(disc>1e-6) { x1 = (-b + sqrt(b b-4 a c)) (2 a); x2 = (-b - sqrt(b b-4 a c)) (2 a); printf(""x1=%7.5f;x2=%7.5f "",x1,x2); } else { realpart=-b (2 a); imagpart=sqrt(-disc) (2 a); if(realpart 0) printf(""x1=0.00000+%7.5fi;x2=0.00000-%7.5fi "",imagpart,imagpart); else printf(""x1=%7.5f+%7.5fi;x2=%7.5f-%7.5fi "",realpart,imagpart,realpart,imagpart); } } return 0; }",27,27/217.txt
33638,"int main() { int check(double x,double y); x?y ? int n,a=0,b=0,answer; scanf(""%d"",&n); int k=6; while(k<=n) k ?6~n ? { int i=2; while(i<=k 2) { a=i; b=k-i; answer=check(a,b); if(answer 1) answer 1 ? { printf(""%d=%d+%d "",k,a,b); break; } else if(i 2) i=i+1; else i=i+2; } k=k+2; } } int check(double x,double y) { int d1=0,d2=0; int i=2; int answer; while(i<=sqrt(x)) { if((int)x%i 0) { d1=1; break; } else i++; } x ? i=2; while(i<=sqrt(y)) { if((int)y%i 0) { d2=1; break; } else i++; } y ? if(d1 0&&d2 0) answer=1; else answer=0; return answer; x ?d1=0?y d2=0 ?0 1 ?0 }",68,68/378.txt
27196,"int cifang(int u,int g) { long int l=1; for(int i=1;i<=g;i++) { l=l u; } return l; } int main() { int n,m; long int sum=0; char a[1000]; cin>>n; cin>>a; cin>>m; char c[26]={'A','B','C','D','E','F','G','H','I','J','K','L','M','N','O','P','Q','R','S','T','U','V','W','X','Y','Z'}; int s=strlen(a); for(int i=0;i<=s-1;i++) { if(a[i]>='0' && a[i]<='9') { int t=a[i]-'0'; sum=sum+t cifang(n,s-1-i); } else if(a[i]>='A' && a[i]<='Z') { int t=a[i]-'A'+10; sum=sum+t cifang(n,s-1-i); } else if(a[i]>='a' && a[i]<='z') { int t=a[i]-'a'+10; sum=sum+t cifang(n,s-1-i); } } int b[1000]; int j; for(int d=0;d<=999;d++) { b[d]=sum%m; sum=(sum-b[d]) m; if(sum<m) { if (sum>0) { if(sum>10) cout<<c[sum-10]; else cout<<sum; for(int f=d;f>=0;f--) { if(b[f]>=10) { cout<<c[b[f]-10]; } else { cout<<b[f]; } } break; } else { for(int f=d;f>=0;f--) { if(b[f]>=10) { cout<<c[b[f]-10]; } else { cout<<b[f]; } } break; } } } return 0; }",55,55/1628.txt
44395,"@file homework.cpp @author @date 2010?11?09 @description : int a[9000][9000] = {0}; A B int main() { int i, j, n, g, flag = 0; cin >> n; cin >> i >> j; while (i != 0 || j!=0) { a[i][j] = 1; cin >> i >> j; } for (j=0;j<n;j++) { g = 0; for(i=0;i<n;i++) { if (i > 1 && g 0) break; if (a[i][j] 1) g++; } if (g n-1) { cout << j; flag = 1; break; } } if (flag 0) cout << ""NOT FOUND""; return 0; }",89,89/663.txt
35097,"int f(int nian,int yue ,int ri){ int z=0,i; int d[12]={31,28,31,30,31,30,31,31,30,31,30,31}; if(nian%400 0||(nian%4 0&&nian%100!=0)){ d[1]=29; } for(i=0;i<yue-1;i++){ z=z+d[i]; } z=z+ri; return(z); } int main(int argc, char argv[]) { int nian,yue1,yue2; int n,i; scanf(""%d"",&n); for(i=0;i<n;i++){ scanf(""%d%d%d"",&nian,&yue1,&yue2); if((int)(fabs(f(nian,yue1,1)-f(nian,yue2,1)))%7 0)printf(""YES ""); else printf(""NO ""); } return 0; }",71,71/151.txt
32566,"int main() { long int y,m,d; scanf(""%d %d %d"",&y,&m,&d); long int s,r; if(y>=2){ r=(y-1) 4-(y-1) 100+(y-1) 400; s=((y-1)+r)%7; }else{ s=0; } if((y%4 0&&y%100!=0)||y%400 0){ switch(m) { case 1: s=(s+d)%7; break; case 2: s=(s+31+d)%7; break; case 3: s=(s+31+29+d)%7; break; case 4: s=(s+31+29+31+d)%7; break; case 5: s=(s+31+29+31+30+d)%7; break; case 6: s=(s+31+29+31+30+31+d)%7; break; case 7: s=(s+31+29+31+30+31+30+d)%7; break; case 8: s=(s+31+29+31+30+31+30+31+d)%7; break; case 9: s=(s+31+29+31+30+31+30+31+31+d)%7; break; case 10: s=(s+31+29+31+30+31+30+31+31+30+d)%7; break; case 11: s=(s+31+29+31+30+31+30+31+31+30+31+d)%7; break; case 12: s=(s+31+29+31+30+31+30+31+31+30+31+30+d)%7; break; } }else{ switch(m) { case 1: s=(s+d)%7; break; case 2: s=(s+31+d)%7; break; case 3: s=(s+31+28+d)%7; break; case 4: s=(s+31+28+31+d)%7; break; case 5: s=(s+31+28+31+30+d)%7; break; case 6: s=(s+31+28+31+30+31+d)%7; break; case 7: s=(s+31+28+31+30+31+30+d)%7; break; case 8: s=(s+31+28+31+30+31+30+31+d)%7; break; case 9: s=(s+31+28+31+30+31+30+31+31+d)%7; break; case 10: s=(s+31+28+31+30+31+30+31+31+30+d)%7; break; case 11: s=(s+31+28+31+30+31+30+31+31+30+31+d)%7; break; case 12: s=(s+31+28+31+30+31+30+31+31+30+31+30+d)%7; break; } } switch(s) { case 1: printf(""Mon.""); break; case 2: printf(""Tue.""); break; case 3: printf(""Wed.""); break; case 4: printf(""Thu.""); break; case 5: printf(""Fri.""); break; case 6: printf(""Sat.""); break; case 0: printf(""Sun.""); break; } return 0; }",66,66/1142.txt
10541,"int main() { int d,ma1,ma2; char c; scanf(""%d"",&d); ma1=d; ma2=d; c=getchar(); while(c!=' ') { scanf(""%d"",&d); if (d>ma1) { ma2=ma1; ma1=d; } else if ((d<ma1)&&(d>ma2)) ma2=d; else if((d<ma2)&&(ma1 ma2)) ma2=d; c=getchar(); } if (ma1 ma2) printf(""No""); else printf(""%d"",ma2); return 0; }",22,22/1094.txt
34163,"int main() { char a[300],b[300],c[300]; scanf(""%s"",a); scanf(""%s"",b); int t,a1,a2,i,j; a1=strlen(a); a2=strlen(b); if(a1<a2) { strcpy(c,a); strcpy(a,b); strcpy(b,c); t=a1; a1=a2; a2=t; } int d; for(i=a2-1,j=a1-1;i>0;i--,j--) { d=a[j]+b[i]-'0'-'0'; a[j]=d%10+'0'; if(d>9) a[j-1]++; } a[a1-a2]=a[a1-a2]+b[0]-'0'; for(i=a1-a2;i>0;i--) if(a[i]>'9') { a[i]=a[i]-10; a[i-1]++; } if(a[0]>'9') { a[0]=a[0]-10; printf(""1""); printf(""%s"",a); } else { for(i=0;i<a1;i++) if(a[i]!='0') break; if(i a1) printf(""0""); else { for(j=i;j<a1;j++) printf(""%c"",a[j]); } } }",69,69/1398.txt
20850,"int main() ? { int d[100000],n,k,i,count=0; ?n?k?i ?count cin>>n; n for(int i=0;i<n;i++) cin>>d[i]; cin>>k; k for(int i=n-1;i>=0;i--) ? if(d[i] k) { for(int j=i+1;j<n;j++) d[j-1]=d[j]; count++; } if(count n) cout<<"" ""<<endl; ? else { cout<<d[0]; d[0] for(int i=1;i<n-count;i++) ?1?n-1 cout<<"" ""<<d[i]; cout<<endl; } return 0; ? }",42,42/401.txt
2594,"int main() { int k,m,n,i,j,c; int a[100][100]; int b[100]={0}; scanf(""%d"",&k); for(c=0;c<k;c++) { scanf(""%d%d"",&m,&n); for(i=0;i<m;i++) { for(j=0;j<n;j++) { scanf(""%d"",&a[i][j]); } } for(i=0;i<m;i++) { for(j=0;j<n;j++) { if(i 0 || i m-1) { b[c]+=a[i][j]; } else { if(j 0 || j n-1) { b[c]+=a[i][j]; } } } } } for(c=0;c<k;c++) { printf(""%d "",b[c]); } return 0; }",6,6/1600.txt
